year,status,download_url,message,request_url
1998,failed,,curl: (22) The requested URL returned error: 403,https://developer.nlr.gov/api/nsrdb/v2/solar/nsrdb-GOES-aggregated-v4-0-0-download.json?api_key=DEMO_KEY&wkt=POLYGON%28%28-125+24%2C-66+24%2C-66+49%2C-125+49%2C-125+24%29%29&names=1998&attributes=dhi%2Cdni%2Cghi%2Cair_temperature%2Cwind_speed&interval=30&utc=false&leap_day=false&full_name=Data+Collector&email=you%40example.com&affiliation=research&reason=nsrdb+us+1998-2024+collection&mailing_list=false
1999,failed,,curl: (22) The requested URL returned error: 403,https://developer.nlr.gov/api/nsrdb/v2/solar/nsrdb-GOES-aggregated-v4-0-0-download.json?api_key=DEMO_KEY&wkt=POLYGON%28%28-125+24%2C-66+24%2C-66+49%2C-125+49%2C-125+24%29%29&names=1999&attributes=dhi%2Cdni%2Cghi%2Cair_temperature%2Cwind_speed&interval=30&utc=false&leap_day=false&full_name=Data+Collector&email=you%40example.com&affiliation=research&reason=nsrdb+us+1998-2024+collection&mailing_list=false
2000,failed,,curl: (22) The requested URL returned error: 403,https://developer.nlr.gov/api/nsrdb/v2/solar/nsrdb-GOES-aggregated-v4-0-0-download.json?api_key=DEMO_KEY&wkt=POLYGON%28%28-125+24%2C-66+24%2C-66+49%2C-125+49%2C-125+24%29%29&names=2000&attributes=dhi%2Cdni%2Cghi%2Cair_temperature%2Cwind_speed&interval=30&utc=false&leap_day=false&full_name=Data+Collector&email=you%40example.com&affiliation=research&reason=nsrdb+us+1998-2024+collection&mailing_list=false
2001,failed,,curl: (22) The requested URL returned error: 403,https://developer.nlr.gov/api/nsrdb/v2/solar/nsrdb-GOES-aggregated-v4-0-0-download.json?api_key=DEMO_KEY&wkt=POLYGON%28%28-125+24%2C-66+24%2C-66+49%2C-125+49%2C-125+24%29%29&names=2001&attributes=dhi%2Cdni%2Cghi%2Cair_temperature%2Cwind_speed&interval=30&utc=false&leap_day=false&full_name=Data+Collector&email=you%40example.com&affiliation=research&reason=nsrdb+us+1998-2024+collection&mailing_list=false
2002,failed,,curl: (22) The requested URL returned error: 403,https://developer.nlr.gov/api/nsrdb/v2/solar/nsrdb-GOES-aggregated-v4-0-0-download.json?api_key=DEMO_KEY&wkt=POLYGON%28%28-125+24%2C-66+24%2C-66+49%2C-125+49%2C-125+24%29%29&names=2002&attributes=dhi%2Cdni%2Cghi%2Cair_temperature%2Cwind_speed&interval=30&utc=false&leap_day=false&full_name=Data+Collector&email=you%40example.com&affiliation=research&reason=nsrdb+us+1998-2024+collection&mailing_list=false
2003,failed,,curl: (22) The requested URL returned error: 403,https://developer.nlr.gov/api/nsrdb/v2/solar/nsrdb-GOES-aggregated-v4-0-0-download.json?api_key=DEMO_KEY&wkt=POLYGON%28%28-125+24%2C-66+24%2C-66+49%2C-125+49%2C-125+24%29%29&names=2003&attributes=dhi%2Cdni%2Cghi%2Cair_temperature%2Cwind_speed&interval=30&utc=false&leap_day=false&full_name=Data+Collector&email=you%40example.com&affiliation=research&reason=nsrdb+us+1998-2024+collection&mailing_list=false
2004,failed,,curl: (22) The requested URL returned error: 403,https://developer.nlr.gov/api/nsrdb/v2/solar/nsrdb-GOES-aggregated-v4-0-0-download.json?api_key=DEMO_KEY&wkt=POLYGON%28%28-125+24%2C-66+24%2C-66+49%2C-125+49%2C-125+24%29%29&names=2004&attributes=dhi%2Cdni%2Cghi%2Cair_temperature%2Cwind_speed&interval=30&utc=false&leap_day=false&full_name=Data+Collector&email=you%40example.com&affiliation=research&reason=nsrdb+us+1998-2024+collection&mailing_list=false
2005,failed,,curl: (22) The requested URL returned error: 403,https://developer.nlr.gov/api/nsrdb/v2/solar/nsrdb-GOES-aggregated-v4-0-0-download.json?api_key=DEMO_KEY&wkt=POLYGON%28%28-125+24%2C-66+24%2C-66+49%2C-125+49%2C-125+24%29%29&names=2005&attributes=dhi%2Cdni%2Cghi%2Cair_temperature%2Cwind_speed&interval=30&utc=false&leap_day=false&full_name=Data+Collector&email=you%40example.com&affiliation=research&reason=nsrdb+us+1998-2024+collection&mailing_list=false
2006,failed,,curl: (22) The requested URL returned error: 403,https://developer.nlr.gov/api/nsrdb/v2/solar/nsrdb-GOES-aggregated-v4-0-0-download.json?api_key=DEMO_KEY&wkt=POLYGON%28%28-125+24%2C-66+24%2C-66+49%2C-125+49%2C-125+24%29%29&names=2006&attributes=dhi%2Cdni%2Cghi%2Cair_temperature%2Cwind_speed&interval=30&utc=false&leap_day=false&full_name=Data+Collector&email=you%40example.com&affiliation=research&reason=nsrdb+us+1998-2024+collection&mailing_list=false
2007,failed,,curl: (22) The requested URL returned error: 403,https://developer.nlr.gov/api/nsrdb/v2/solar/nsrdb-GOES-aggregated-v4-0-0-download.json?api_key=DEMO_KEY&wkt=POLYGON%28%28-125+24%2C-66+24%2C-66+49%2C-125+49%2C-125+24%29%29&names=2007&attributes=dhi%2Cdni%2Cghi%2Cair_temperature%2Cwind_speed&interval=30&utc=false&leap_day=false&full_name=Data+Collector&email=you%40example.com&affiliation=research&reason=nsrdb+us+1998-2024+collection&mailing_list=false
